# NASA PCoE Li-ion Battery Aging Dataset (public domain, US Govt). Cell B0005, one discharge cycle.
# Source: NASA Ames Prognostics Center of Excellence. 18650, ~2Ah rated, ~2A discharge, 24C ambient.
# discharge_capacity_Ah=1.8353  -> load with capacity_Ah=1.835 for a consistent coulomb reference.
time_s,current_A,voltage_V,temperature_C,soc_true
0.0,0.00175,4.18819,24.7343,1.0
16.797,0.00179,4.1872,24.7405,0.999995
35.766,2.01548,3.97999,24.7914,0.994209
53.891,2.01482,3.95817,24.943,0.988682
72.094,2.01189,3.94167,25.1164,0.983139
90.187,2.0129,3.92794,25.3107,0.977627
108.328,2.01048,3.91619,25.4994,0.972107
126.609,2.0138,3.90573,25.6814,0.966536
144.828,2.0121,3.89663,25.8753,0.960987
163.062,2.01395,3.88836,26.0541,0.955429
181.25,2.01124,3.88049,26.2503,0.949893
199.406,2.01341,3.87297,26.4174,0.94436
217.453,2.01087,3.86621,26.6084,0.938868
235.516,2.01093,3.85984,26.7641,0.93337
253.797,2.01418,3.85311,26.9384,0.927798
271.937,2.01295,3.84706,27.1063,0.922271
290.109,2.0137,3.8412,27.2719,0.916733
308.25,2.0131,3.83554,27.4258,0.911206
326.375,2.0152,3.8302,27.5802,0.905677
344.562,2.01414,3.82489,27.7346,0.900133
362.719,2.01071,3.81974,27.8946,0.894608
380.844,2.00973,3.81476,28.0434,0.889095
399.078,2.01075,3.80964,28.2026,0.883546
417.234,2.01481,3.80472,28.3407,0.878009
435.437,2.01441,3.7996,28.486,0.87246
453.641,2.0128,3.79476,28.6262,0.866914
471.844,2.0127,3.78966,28.7701,0.861369
490.062,2.01408,3.78478,28.8989,0.855816
508.281,2.01358,3.77988,29.0339,0.850263
526.516,2.01327,3.77494,29.162,0.844707
544.75,2.01638,3.77009,29.2753,0.839142
562.969,2.01571,3.76518,29.3769,0.833584
581.187,2.01317,3.76062,29.4778,0.828033
599.359,2.00735,3.75638,29.5781,0.822513
617.547,2.01417,3.75165,29.6652,0.816968
635.719,2.01244,3.74735,29.7615,0.811433
654.078,2.01334,3.74316,29.8463,0.805839
672.359,2.01357,3.73888,29.922,0.800268
690.562,2.01226,3.73479,29.9702,0.794724
709.0,2.01169,3.73076,30.0324,0.78911
727.172,2.01364,3.72673,30.0984,0.783572
745.453,2.01285,3.72289,30.1496,0.778003
763.672,2.01363,3.71893,30.203,0.772451
781.937,2.01031,3.71459,30.2502,0.766893
800.312,2.01322,3.71088,30.2992,0.761295
818.641,2.0128,3.7069,30.3448,0.755711
836.969,2.01024,3.70282,30.3912,0.750135
855.344,2.01263,3.6991,30.4262,0.744537
873.734,2.00864,3.6951,30.477,0.738947
892.125,2.01583,3.69139,30.5279,0.733336
910.344,2.01305,3.68726,30.5742,0.727785
928.641,2.01235,3.68372,30.6112,0.722212
947.031,2.0147,3.67977,30.6613,0.716605
965.422,2.01236,3.67622,30.711,0.711003
983.781,2.01417,3.67246,30.7472,0.705407
1002.156,2.01331,3.66895,30.8053,0.699808
1020.531,2.01513,3.66542,30.8645,0.694204
1038.875,2.01241,3.66166,30.9016,0.688616
1057.391,2.01028,3.65821,30.9543,0.682983
1075.812,2.01285,3.65448,31.0178,0.677371
1094.172,2.01421,3.65105,31.0589,0.671774
1112.547,2.01154,3.64759,31.1205,0.66618
1130.906,2.01325,3.64388,31.1659,0.660586
1149.203,2.0112,3.64074,31.2125,0.655016
1167.5,2.01131,3.63726,31.2778,0.649447
1185.844,2.01335,3.63392,31.3315,0.643857
1204.234,2.01414,3.63047,31.3883,0.638251
1222.562,2.01074,3.62701,31.4274,0.632673
1241.0,2.01107,3.6238,31.4899,0.627061
1259.406,2.01434,3.62077,31.5445,0.62145
1277.875,2.01344,3.61715,31.6046,0.615822
1296.266,2.01434,3.61405,31.6586,0.610215
1314.687,2.01144,3.61073,31.6989,0.604607
1333.203,2.01288,3.60759,31.7597,0.598966
1351.703,2.01262,3.60434,31.813,0.593331
1370.203,2.01361,3.60115,31.8668,0.587693
1388.703,2.01461,3.59811,31.9194,0.582052
1407.234,2.0114,3.59476,31.9659,0.576411
1425.766,2.01307,3.59184,32.0058,0.570765
1444.312,2.01448,3.5886,32.0611,0.56511
1462.781,2.01256,3.58554,32.111,0.559485
1481.391,2.01553,3.58262,32.1535,0.553808
1499.953,2.01444,3.57966,32.2,0.548148
1518.484,2.01312,3.57682,32.2519,0.542502
1537.094,2.01276,3.57386,32.3052,0.536833
1555.641,2.0117,3.57073,32.3462,0.531186
1574.203,2.00932,3.56799,32.3922,0.525541
1592.734,2.01033,3.56485,32.4531,0.519903
1611.266,2.0146,3.56215,32.4892,0.514253
1629.812,2.01133,3.5593,32.5308,0.508607
1648.406,2.0107,3.55653,32.5749,0.502948
1666.984,2.01031,3.55387,32.6203,0.497296
1685.516,2.01312,3.55108,32.6596,0.49165
1704.25,2.01215,3.54851,32.7031,0.485944
1722.812,2.01391,3.54568,32.7445,0.480287
1741.469,2.01493,3.54317,32.7986,0.474597
1760.156,2.00906,3.54064,32.8402,0.468915
1778.828,2.01092,3.53822,32.8855,0.463232
1797.547,2.01158,3.5357,32.9289,0.457533
1816.297,2.01248,3.53323,32.9682,0.451822
1835.031,2.00822,3.53071,33.0119,0.446128
1853.781,2.01197,3.52854,33.0609,0.440418
1872.531,2.01326,3.52605,33.1004,0.434705
1891.266,2.01052,3.52397,33.1419,0.429004
1910.031,2.01228,3.5213,33.1983,0.423289
1928.687,2.01331,3.51951,33.2404,0.417605
1947.344,2.01447,3.51706,33.2833,0.411916
1966.062,2.0116,3.51481,33.3288,0.406218
1984.719,2.01403,3.51284,33.3807,0.400531
2003.437,2.01037,3.51083,33.4175,0.394835
2022.203,2.01281,3.50889,33.4519,0.389119
2040.984,2.01031,3.50705,33.5056,0.383404
2059.766,2.01095,3.50497,33.5437,0.377688
2078.562,2.01201,3.50308,33.5928,0.371964
2097.359,2.0108,3.50111,33.6436,0.366244
2116.094,2.0121,3.49924,33.678,0.360538
2134.859,2.01216,3.49751,33.7288,0.354824
